epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08065,3.01981,5.01062,2.79329,0,0,0,0,2.88128,4.519,2.52346,0,0,0
2,5.27251,3.21492,4.95455,2.65168,0,0,0,0,2.84747,4.53146,2.51495,1.42891e-05,1.42891e-05,1.42891e-05
3,7.36648,3.03396,4.90266,2.92742,0,0,0,0,2.84663,4.5273,2.51461,2.8573e-05,2.8573e-05,2.8573e-05
4,9.36228,2.67626,4.55891,2.29164,0,0,0,0,2.54638,4.3625,2.45173,4.28464e-05,4.28464e-05,4.28464e-05
5,13.2543,2.12599,4.28814,2.57749,0,0,0,0,2.54638,4.3625,2.45173,5.71042e-05,5.71042e-05,5.71042e-05
6,16.8507,2.26006,4.41915,2.39923,0.02632,0.14286,0.14928,0.06984,1.81067,4.11021,2.16978,7.1341e-05,7.1341e-05,7.1341e-05
7,20.0232,1.62961,4.08099,1.78999,0.02632,0.14286,0.14928,0.06984,1.81067,4.11021,2.16978,8.55516e-05,8.55516e-05,8.55516e-05
8,23.226,1.85548,4.14191,1.81674,0.02857,0.14286,0.14993,0.0998,1.38962,3.7542,2.06973,9.9731e-05,9.9731e-05,9.9731e-05
9,26.4319,1.44282,3.78989,1.78073,0.02857,0.14286,0.14993,0.0998,1.38962,3.7542,2.06973,0.000113874,0.000113874,0.000113874
10,29.8774,1.44248,3.69328,2.05629,0.025,0.14286,0.1489,0.09904,1.34874,3.74348,2.05606,0.000127975,0.000127975,0.000127975
11,33.2037,1.36169,3.74017,1.83707,0.025,0.14286,0.1489,0.09904,1.34874,3.74348,2.05606,0.000142029,0.000142029,0.000142029
12,36.3477,1.32654,3.65853,1.70481,0.025,0.14286,0.1489,0.09904,1.34874,3.74348,2.05606,0.000156031,0.000156031,0.000156031
13,39.1844,1.33503,3.70351,2.33366,0.19127,0.14286,0.19343,0.05473,1.24649,3.4008,1.9496,0.000169976,0.000169976,0.000169976
14,41.7917,1.42135,3.40964,1.88002,0.19127,0.14286,0.19343,0.05473,1.24649,3.4008,1.9496,0.000183859,0.000183859,0.000183859
15,44.4055,1.29288,3.36497,2.1214,0.19127,0.14286,0.19343,0.05473,1.24649,3.4008,1.9496,0.000197675,0.000197675,0.000197675
16,47.4322,1.39385,3.36003,2.28366,0.27986,0.33333,0.32583,0.20059,1.10344,2.94865,2.03931,0.000211418,0.000211418,0.000211418
17,50.8106,1.10084,3.0732,1.68122,0.27986,0.33333,0.32583,0.20059,1.10344,2.94865,2.03931,0.000225084,0.000225084,0.000225084
18,54.4026,1.14937,2.88796,1.70621,0.27986,0.33333,0.32583,0.20059,1.10344,2.94865,2.03931,0.000238668,0.000238668,0.000238668
19,58.1837,1.16605,2.9582,1.78926,0.27986,0.33333,0.32583,0.20059,1.10344,2.94865,2.03931,0.000252164,0.000252164,0.000252164
20,62.0185,1.1361,3.01609,2.12031,0.66146,0.33333,0.44625,0.24519,1.34479,2.89719,2.03859,0.000265569,0.000265569,0.000265569
21,65.6117,1.23378,2.89538,1.93213,0.66146,0.33333,0.44625,0.24519,1.34479,2.89719,2.03859,0.000278876,0.000278876,0.000278876
22,68.8136,1.24749,3.10524,1.47333,0.66146,0.33333,0.44625,0.24519,1.34479,2.89719,2.03859,0.000292081,0.000292081,0.000292081
23,72.0253,1.12211,2.82658,2.02512,0.66146,0.33333,0.44625,0.24519,1.34479,2.89719,2.03859,0.00030518,0.00030518,0.00030518
24,75.357,1.28707,3.05538,1.31274,0.99192,0.33333,0.4723,0.22949,1.38472,2.64188,1.93754,0.000318167,0.000318167,0.000318167
25,77.9984,1.21681,2.58226,1.17549,0.99192,0.33333,0.4723,0.22949,1.38472,2.64188,1.93754,0.000331038,0.000331038,0.000331038
26,81.535,1.26364,2.64518,1.65438,0.99192,0.33333,0.4723,0.22949,1.38472,2.64188,1.93754,0.000343789,0.000343789,0.000343789
27,84.1555,1.05179,2.52654,1.78222,0.99192,0.33333,0.4723,0.22949,1.38472,2.64188,1.93754,0.000356414,0.000356414,0.000356414
28,87.3978,1.17331,2.50465,1.86829,0.99192,0.33333,0.4723,0.22949,1.38472,2.64188,1.93754,0.000368909,0.000368909,0.000368909
29,90.3384,1.25053,2.55183,1.22392,0.82953,0.4452,0.54658,0.35416,1.19973,2.39237,1.90118,0.00038127,0.00038127,0.00038127
30,94.1981,1.34237,2.15802,1.96339,0.82953,0.4452,0.54658,0.35416,1.19973,2.39237,1.90118,0.000393492,0.000393492,0.000393492
31,97.3887,1.26188,2.1673,1.72196,0.82953,0.4452,0.54658,0.35416,1.19973,2.39237,1.90118,0.000405571,0.000405571,0.000405571
32,100.585,1.3857,2.24234,1.69789,0.82953,0.4452,0.54658,0.35416,1.19973,2.39237,1.90118,0.000417502,0.000417502,0.000417502
33,103.79,1.34358,2.21466,1.95559,0.82953,0.4452,0.54658,0.35416,1.19973,2.39237,1.90118,0.000429282,0.000429282,0.000429282
34,107.2,1.20006,2.39146,1.72982,0.82953,0.4452,0.54658,0.35416,1.19973,2.39237,1.90118,0.000440905,0.000440905,0.000440905
35,111.027,1.23934,2.11356,1.30332,0.82834,0.50115,0.56466,0.38426,1.15501,2.33394,1.89182,0.000452368,0.000452368,0.000452368
36,114.188,1.3763,2.17218,1.22144,0.82834,0.50115,0.56466,0.38426,1.15501,2.33394,1.89182,0.000463667,0.000463667,0.000463667
37,117.749,1.26265,2.3461,3.18365,0.82834,0.50115,0.56466,0.38426,1.15501,2.33394,1.89182,0.000474798,0.000474798,0.000474798
38,121.815,1.17192,2.19609,2.50202,0.82834,0.50115,0.56466,0.38426,1.15501,2.33394,1.89182,0.000485757,0.000485757,0.000485757
39,125.01,1.21193,2.16846,1.2766,0.82834,0.50115,0.56466,0.38426,1.15501,2.33394,1.89182,0.00049654,0.00049654,0.00049654
40,128.572,1.32323,2.2469,1.39138,0.82834,0.50115,0.56466,0.38426,1.15501,2.33394,1.89182,0.000507143,0.000507143,0.000507143
