epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.06499,2.80381,4.50867,2.96616,0,0,0,0,2.8829,4.51769,2.52121,0,0,0
2,5.13629,2.84977,4.71053,2.62586,0,0,0,0,2.85119,4.52087,2.51564,1.42891e-05,1.42891e-05,1.42891e-05
3,7.34028,2.45662,4.50893,2.79909,0,0,0,0,2.86526,4.51853,2.53621,2.8573e-05,2.8573e-05,2.8573e-05
4,9.51359,2.49549,4.39428,2.61503,0,0,0,0,2.37892,4.30905,2.32416,4.28464e-05,4.28464e-05,4.28464e-05
5,13.1109,2.21233,4.31089,1.97183,0,0,0,0,2.37892,4.30905,2.32416,5.71042e-05,5.71042e-05,5.71042e-05
6,16.6422,2.01135,4.20327,2.3972,0.03571,0.14286,0.12866,0.07891,1.69144,4.07699,2.16179,7.1341e-05,7.1341e-05,7.1341e-05
7,19.8328,1.95706,4.05872,1.76218,0.03571,0.14286,0.12866,0.07891,1.69144,4.07699,2.16179,8.55516e-05,8.55516e-05,8.55516e-05
8,23.0758,1.53033,3.9287,1.6819,0.02632,0.14286,0.14928,0.05733,1.41522,3.84463,2.03698,9.9731e-05,9.9731e-05,9.9731e-05
9,25.7917,1.45186,3.77139,1.99271,0.02632,0.14286,0.14928,0.05733,1.41522,3.84463,2.03698,0.000113874,0.000113874,0.000113874
10,28.6738,1.2611,3.71509,1.70419,0.22451,0.19048,0.19964,0.06033,1.14026,3.57164,1.9344,0.000127975,0.000127975,0.000127975
11,31.7651,1.29426,3.37002,1.73384,0.22451,0.19048,0.19964,0.06033,1.14026,3.57164,1.9344,0.000142029,0.000142029,0.000142029
12,34.7541,1.49546,3.51166,2.00906,0.22451,0.19048,0.19964,0.06033,1.14026,3.57164,1.9344,0.000156031,0.000156031,0.000156031
13,37.4314,1.34517,3.48886,1.62069,0.19103,0.28571,0.24674,0.09973,1.03753,3.28587,2.34147,0.000169976,0.000169976,0.000169976
14,40.6426,1.30896,3.24839,1.53541,0.19103,0.28571,0.24674,0.09973,1.03753,3.28587,2.34147,0.000183859,0.000183859,0.000183859
15,43.8166,1.1463,3.06178,2.09531,0.19103,0.28571,0.24674,0.09973,1.03753,3.28587,2.34147,0.000197675,0.000197675,0.000197675
16,47.4413,1.18981,3.01366,2.0448,0.33333,0.18044,0.25674,0.10576,1.05255,3.19717,2.353,0.000211418,0.000211418,0.000211418
17,50.8407,1.21125,3.15652,2.06898,0.33333,0.18044,0.25674,0.10576,1.05255,3.19717,2.353,0.000225084,0.000225084,0.000225084
18,54.3751,1.12425,3.10901,1.4694,0.33333,0.18044,0.25674,0.10576,1.05255,3.19717,2.353,0.000238668,0.000238668,0.000238668
19,58.1539,1.13435,3.23353,1.48314,0.33333,0.18044,0.25674,0.10576,1.05255,3.19717,2.353,0.000252164,0.000252164,0.000252164
20,61.8802,1.19355,3.2243,1.63912,0.32697,0.33333,0.33167,0.152,1.12342,2.90402,1.852,0.000265569,0.000265569,0.000265569
21,65.4299,1.11341,2.58956,2.54538,0.32697,0.33333,0.33167,0.152,1.12342,2.90402,1.852,0.000278876,0.000278876,0.000278876
22,68.6523,1.22964,3.03299,1.95003,0.32697,0.33333,0.33167,0.152,1.12342,2.90402,1.852,0.000292081,0.000292081,0.000292081
23,71.8035,1.06518,2.76081,1.63796,0.32697,0.33333,0.33167,0.152,1.12342,2.90402,1.852,0.00030518,0.00030518,0.00030518
24,75.0599,1.13574,2.81202,1.85872,0.66196,0.33333,0.36406,0.22981,1.14467,2.67981,1.78314,0.000318167,0.000318167,0.000318167
25,78.3331,1.04114,2.46506,1.70901,0.66196,0.33333,0.36406,0.22981,1.14467,2.67981,1.78314,0.000331038,0.000331038,0.000331038
26,82.4383,1.05347,2.46781,1.69401,0.66196,0.33333,0.36406,0.22981,1.14467,2.67981,1.78314,0.000343789,0.000343789,0.000343789
27,85.5607,1.06285,2.71041,1.79889,0.66196,0.33333,0.36406,0.22981,1.14467,2.67981,1.78314,0.000356414,0.000356414,0.000356414
28,89.3616,1.20825,2.61841,1.65152,0.66196,0.33333,0.36406,0.22981,1.14467,2.67981,1.78314,0.000368909,0.000368909,0.000368909
29,92.8402,1.32503,2.6547,1.40482,0.94726,0.33333,0.66185,0.39447,1.18404,2.4125,2.01853,0.00038127,0.00038127,0.00038127
30,96.6344,1.22215,2.13079,2.05715,0.94726,0.33333,0.66185,0.39447,1.18404,2.4125,2.01853,0.000393492,0.000393492,0.000393492
31,99.8162,1.01349,2.27335,1.3438,0.94726,0.33333,0.66185,0.39447,1.18404,2.4125,2.01853,0.000405571,0.000405571,0.000405571
32,103.016,1.02198,2.32422,1.59954,0.94726,0.33333,0.66185,0.39447,1.18404,2.4125,2.01853,0.000417502,0.000417502,0.000417502
33,106.23,1.05959,2.3855,1.84772,0.94726,0.33333,0.66185,0.39447,1.18404,2.4125,2.01853,0.000429282,0.000429282,0.000429282
34,109.737,1.20614,2.25411,1.55421,0.94726,0.33333,0.66185,0.39447,1.18404,2.4125,2.01853,0.000440905,0.000440905,0.000440905
35,113.614,1.20889,2.26231,2.31302,0.73436,0.60528,0.6804,0.43674,1.25126,2.07337,2.16446,0.000452368,0.000452368,0.000452368
36,116.797,1.10101,1.88581,1.85446,0.73436,0.60528,0.6804,0.43674,1.25126,2.07337,2.16446,0.000463667,0.000463667,0.000463667
37,120.362,1.29314,2.09127,1.84244,0.73436,0.60528,0.6804,0.43674,1.25126,2.07337,2.16446,0.000474798,0.000474798,0.000474798
38,124.429,1.16621,1.99373,1.45388,0.73436,0.60528,0.6804,0.43674,1.25126,2.07337,2.16446,0.000485757,0.000485757,0.000485757
39,127.605,1.19403,2.1677,1.17038,0.73436,0.60528,0.6804,0.43674,1.25126,2.07337,2.16446,0.00049654,0.00049654,0.00049654
40,131.184,1.23806,2.01486,2.26583,0.73436,0.60528,0.6804,0.43674,1.25126,2.07337,2.16446,0.000507143,0.000507143,0.000507143
41,134.389,1.17548,2.06318,2.63585,0.73436,0.60528,0.6804,0.43674,1.25126,2.07337,2.16446,0.000517563,0.000517563,0.000517563
42,137.843,1.16596,2.08375,2.08322,0.71527,0.68449,0.67963,0.44474,1.23169,2.02556,2.11852,0.000527795,0.000527795,0.000527795
43,141.131,1.10272,1.85444,2.54512,0.71527,0.68449,0.67963,0.44474,1.23169,2.02556,2.11852,0.000537837,0.000537837,0.000537837
44,144.365,1.26166,2.00805,2.42606,0.71527,0.68449,0.67963,0.44474,1.23169,2.02556,2.11852,0.000547685,0.000547685,0.000547685
45,147.538,1.1467,1.91296,1.89266,0.71527,0.68449,0.67963,0.44474,1.23169,2.02556,2.11852,0.000557335,0.000557335,0.000557335
46,151.018,1.16095,2.03031,1.58649,0.71527,0.68449,0.67963,0.44474,1.23169,2.02556,2.11852,0.000566785,0.000566785,0.000566785
47,154.196,1.28971,2.09502,2.46472,0.71527,0.68449,0.67963,0.44474,1.23169,2.02556,2.11852,0.00057603,0.00057603,0.00057603
48,157.375,1.09992,1.86394,2.34541,0.71527,0.68449,0.67963,0.44474,1.23169,2.02556,2.11852,0.000585069,0.000585069,0.000585069
49,161.202,1.19474,2.12719,1.23875,0.71527,0.68449,0.67963,0.44474,1.23169,2.02556,2.11852,0.000593897,0.000593897,0.000593897
50,164.408,1.17382,1.87819,1.93578,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.000602511,0.000602511,0.000602511
51,167.081,1.10309,1.67718,1.49978,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.00061091,0.00061091,0.00061091
52,169.739,1.23251,1.90714,1.68412,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.00061909,0.00061909,0.00061909
53,172.604,1.12877,1.74553,1.92613,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.000627049,0.000627049,0.000627049
54,176.172,1.07964,1.74366,1.53106,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.000634783,0.000634783,0.000634783
55,178.778,1.06132,1.87532,1.56609,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.000642291,0.000642291,0.000642291
56,181.494,1.15688,1.7479,1.69895,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.000649569,0.000649569,0.000649569
57,184.998,1.17038,1.91227,1.51253,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.000656617,0.000656617,0.000656617
58,187.963,1.0211,1.68893,1.54274,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.000663431,0.000663431,0.000663431
59,190.572,1.18181,1.84119,1.42433,0.59934,0.57214,0.66669,0.4157,1.31116,2.16186,1.96835,0.000670009,0.000670009,0.000670009
60,193.613,1.13579,1.6889,2.79454,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.00067635,0.00067635,0.00067635
61,196.156,1.06091,1.75811,1.38171,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.000682451,0.000682451,0.000682451
62,198.777,1.08297,1.57929,1.37229,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.00068831,0.00068831,0.00068831
63,201.384,1.21276,1.72482,1.2809,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.000693927,0.000693927,0.000693927
64,204.296,1.09536,1.91811,1.27033,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.000699299,0.000699299,0.000699299
65,206.931,1.05281,1.65188,1.99221,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.000704425,0.000704425,0.000704425
66,209.583,1.16728,1.70265,1.30955,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.000709304,0.000709304,0.000709304
67,212.281,1.11034,1.94038,1.33092,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.000713934,0.000713934,0.000713934
68,214.921,1.1028,1.58575,1.56242,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.000718314,0.000718314,0.000718314
69,217.544,1.18286,1.66815,1.42548,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.000722443,0.000722443,0.000722443
70,220.197,1.08271,1.83392,2.03757,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.00072632,0.00072632,0.00072632
71,223.13,1.09517,1.73012,1.85695,0.91259,0.56424,0.66602,0.41254,1.39688,2.04185,2.0119,0.000729944,0.000729944,0.000729944
72,226.145,1.22352,1.58535,1.39779,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000733315,0.000733315,0.000733315
73,229.38,1.05644,1.33333,1.39722,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000736432,0.000736432,0.000736432
74,233.168,1.03413,1.29987,1.14561,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000739294,0.000739294,0.000739294
75,236.918,1.11738,1.46865,1.405,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000741901,0.000741901,0.000741901
76,240.154,0.9965,1.29704,1.24841,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000744254,0.000744254,0.000744254
77,244.182,1.17561,1.43929,1.49009,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.00074635,0.00074635,0.00074635
78,247.357,1.10721,1.54927,1.7668,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000748191,0.000748191,0.000748191
79,250.51,1.16219,1.34722,1.56607,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000749777,0.000749777,0.000749777
80,253.982,0.95573,1.25986,1.17907,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000751108,0.000751108,0.000751108
81,257.181,0.93722,1.13044,1.54299,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000752184,0.000752184,0.000752184
82,260.358,1.00841,1.26405,1.50362,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000753005,0.000753005,0.000753005
83,263.891,1.05669,1.33894,1.43894,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000753572,0.000753572,0.000753572
84,267.15,1.10414,1.29415,2.35486,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000753886,0.000753886,0.000753886
85,270.306,0.92221,1.28258,1.44879,0.88686,0.67262,0.77044,0.56191,1.15107,1.31986,1.65406,0.000753948,0.000753948,0.000753948
86,273.806,1.03417,1.34735,1.82586,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000753758,0.000753758,0.000753758
87,277.11,1.08195,1.24812,1.56004,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000753317,0.000753317,0.000753317
88,280.501,1.12372,1.3302,1.50216,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000752626,0.000752626,0.000752626
89,284.107,1.17926,1.32738,1.28772,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000751687,0.000751687,0.000751687
90,287.287,1.05305,1.34471,1.22106,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000750501,0.000750501,0.000750501
91,290.48,1.11036,1.30265,1.72282,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.00074907,0.00074907,0.00074907
