ng,source,type,id,filename,file_path,class,mean_R,mean_G,mean_B,sum_R,sum_G,sum_B,max_R,max_G,max_B,min_R,min_G,min_B,median_R,median_G,median_B,std_HSV,R/G,max_intensity
60.0,DerP,test,6,60ng_DerP_test_img06.png,resized/60ng_DerP_test_img06.png,11,170.78768920898438,172.12826538085938,190.87591552734375,5596371,5640299,6254622,205,208,216,108,107,129,173.0,175.0,194.0,100.72937248524002,0.9922117546405262,209
40.0,DerF,ctrl,4,40ng_DerF_ctrl_img04.png,resized/40ng_DerF_ctrl_img04.png,10,174.0072021484375,177.00030517578125,191.50732421875,5701868,5799946,6275312,205,211,214,112,108,134,181.0,186.0,197.0,90.48190643301275,0.9830898370064328,211
2.0,DerF,test,5,2ng_DerF_test_img05.png,resized/2ng_DerF_test_img05.png,3,181.89114379882812,183.51043701171875,196.19033813476562,5960209,6013270,6428765,208,217,218,82,82,103,191.0,192.0,204.0,103.90058129846462,0.9911760103107202,216
10.0,DerP,test,6,10ng_DerP_test_img06.png,resized/10ng_DerP_test_img06.png,7,160.8594970703125,159.42367553710938,183.4246826171875,5271044,5223995,6010460,193,195,207,78,71,101,166.0,164.0,187.0,116.24696185808497,1.0090063192895249,198
6.0,DerP,ctrl,7,6ng_DerP_ctrl_img07.png,resized/6ng_DerP_ctrl_img07.png,5,156.29461669921875,158.62417602539062,180.93118286132812,5121462,5197797,5928753,201,205,216,76,73,113,160.0,164.0,184.0,98.25315014193893,0.9853139643031907,208
10.0,DerP,test,7,10ng_DerP_test_img07.png,resized/10ng_DerP_test_img07.png,7,188.4012451171875,193.57864379882812,204.3338623046875,6173532,6343185,6695612,210,219,222,93,93,117,193.0,198.0,208.0,51.15542189916661,0.9732542828418852,219
30.0,DerF,ctrl,4,30ng_DerF_ctrl_img04.png,resized/30ng_DerF_ctrl_img04.png,9,164.5284423828125,166.86474609375,184.16989135742188,5391268,5467824,6034879,194,200,208,108,106,128,169.0,171.0,188.0,91.64356633839165,0.9859988119022834,201
0.0,Cockroach,test,1,0ng_Cockroach_test_img01.png,resized/0ng_Cockroach_test_img01.png,0,209.02328491210938,217.89968872070312,221.6964111328125,6849275,7140137,7264548,218,229,231,143,143,159,212.0,222.0,224.0,29.767162055683205,0.9592638024406036,228
20.0,DerP,test,6,20ng_DerP_test_img06.png,resized/20ng_DerP_test_img06.png,8,161.93817138671875,162.12881469726562,182.5272216796875,5306390,5312637,5981052,201,202,211,84,79,108,165.0,165.0,185.0,107.7783369295054,0.9988241182807204,205
0.1,Cockroach,test,1,0.1ng_Cockroach_test_img01.png,resized/0.1ng_Cockroach_test_img01.png,1,206.48553466796875,214.71881103515625,218.913330078125,6766118,7035906,7173352,219,227,230,161,164,173,211.0,220.0,223.0,18.731070954274173,0.9616555378210668,227
0.0,DerF,test,5,0ng_DerF_test_img05.png,resized/0ng_DerF_test_img05.png,0,206.44097900390625,212.12423706054688,215.93682861328125,6764658,6950887,7075818,214,220,223,182,182,191,208.0,214.0,217.0,22.57954399609077,0.9732078752121742,220
2.0,Cockroach,ctrl,2,2ng_Cockroach_ctrl_img02.png,resized/2ng_Cockroach_ctrl_img02.png,3,150.19393920898438,152.63021850585938,183.8753662109375,4921555,5001387,6025228,192,201,215,82,78,118,153.0,156.0,188.0,104.10240713383806,0.984038021403871,204
1.0,DerP,test,6,1ng_DerP_test_img06.png,resized/1ng_DerP_test_img06.png,2,197.78842163085938,200.17581176757812,205.11602783203125,6481131,6559361,6721242,209,213,215,149,148,156,199.0,202.0,206.0,43.53089877715752,0.9880735284462628,213
1.0,DerP,test,7,1ng_DerP_test_img07.png,resized/1ng_DerP_test_img07.png,2,202.185791015625,209.20217895507812,212.31869506835938,6625224,6855137,6957259,214,221,223,156,162,170,204.0,212.0,214.0,13.736665994618368,0.9664612054187975,221
2.0,Cockroach,ctrl,3,2ng_Cockroach_ctrl_img03.png,resized/2ng_Cockroach_ctrl_img03.png,3,154.21597290039062,155.3175048828125,183.36572265625,5053349,5089444,6008528,195,200,209,84,80,118,158.0,159.0,188.0,104.94811417161836,0.9929078633077395,202
0.0,DerF,test,4,0ng_DerF_test_img04.png,resized/0ng_DerF_test_img04.png,0,203.4996337890625,212.27325439453125,212.62539672851562,6668276,6955770,6967309,211,219,220,178,183,185,204.0,213.0,213.0,9.366202397680713,0.9586682665738456,218
0.0,Cockroach,test,2,0ng_Cockroach_test_img02.png,resized/0ng_Cockroach_test_img02.png,0,202.93136596679688,211.90628051757812,214.76605224609375,6649655,6943745,7037454,209,219,222,175,180,185,204.0,213.0,215.0,9.959477029163859,0.9576467696638962,218
4.0,DerP,ctrl,7,4ng_DerP_ctrl_img07.png,resized/4ng_DerP_ctrl_img07.png,4,150.10421752929688,151.26290893554688,178.74246215820312,4918615,4956583,5857033,188,192,207,78,76,110,156.0,157.0,185.0,110.29500855654089,0.9923398775896635,196
0.1,Cockroach,test,2,0.1ng_Cockroach_test_img02.png,resized/0.1ng_Cockroach_test_img02.png,1,200.92227172851562,208.69830322265625,213.11505126953125,6583821,6838626,6983354,212,220,224,145,148,158,203.0,212.0,215.0,18.049627035550376,0.9627403177850237,219
8.0,DerF,test,5,8ng_DerF_test_img05.png,resized/8ng_DerF_test_img05.png,6,157.53286743164062,158.95077514648438,179.03610229492188,5162037,5208499,5866655,203,207,216,67,68,91,166.0,167.0,187.0,110.952202635806,0.9910795735055924,209
2.0,Cockroach,ctrl,1,2ng_Cockroach_ctrl_img01.png,resized/2ng_Cockroach_ctrl_img01.png,3,161.296142578125,162.99728393554688,194.62710571289062,5285352,5341095,6377541,212,221,227,87,83,123,166.0,168.0,200.0,118.96751486201985,0.9895633699782512,222
0.1,DerP,ctrl,6,0.1ng_DerP_ctrl_img06.png,resized/0.1ng_DerP_ctrl_img06.png,1,156.36444091796875,152.96295166015625,181.76513671875,5123750,5012290,5956080,201,202,214,70,67,109,162.0,160.0,187.0,104.67059462795609,1.022237333933856,205
0.1,Cockroach,test,3,0.1ng_Cockroach_test_img03.png,resized/0.1ng_Cockroach_test_img03.png,1,204.79779052734375,212.54473876953125,212.952880859375,6710814,6964666,6978040,213,221,221,162,162,167,206.0,214.0,214.0,14.60700028914131,0.9635514421547776,220
0.0,Cockroach,test,3,0ng_Cockroach_test_img03.png,resized/0ng_Cockroach_test_img03.png,0,202.50323486328125,208.41949462890625,210.61685180664062,6635626,6829490,6901493,214,219,222,150,150,156,205.0,212.0,212.0,32.00708208962124,0.9716136883079356,218
60.0,DerF,ctrl,4,60ng_DerF_ctrl_img04.png,resized/60ng_DerF_ctrl_img04.png,11,173.63357543945312,175.392578125,191.81512451171875,5689625,5747264,6285398,201,206,214,101,96,129,177.0,179.0,194.0,91.42731866394661,0.9899710484085347,207
1.0,Cockroach,test,1,1ng_Cockroach_test_img01.png,resized/1ng_Cockroach_test_img01.png,2,194.69308471679688,199.10702514648438,212.00653076171875,6379703,6524339,6947030,217,225,228,135,137,156,198.0,203.0,216.0,65.62513372621953,0.9778313125603105,225
2.0,DerP,ctrl,7,2ng_DerP_ctrl_img07.png,resized/2ng_DerP_ctrl_img07.png,3,155.04525756835938,156.46124267578125,181.58810424804688,5080523,5126922,5950279,200,204,216,78,80,107,158.0,159.0,186.0,107.90630216787468,0.9909499242486141,207
40.0,DerP,test,6,40ng_DerP_test_img06.png,resized/40ng_DerP_test_img06.png,10,171.46762084960938,172.77578735351562,188.42510986328125,5618651,5661517,6174314,199,205,208,98,94,129,176.0,178.0,192.0,92.44027351262201,0.9924285253369551,205
10.0,DerF,ctrl,4,10ng_DerF_ctrl_img04.png,resized/10ng_DerF_ctrl_img04.png,7,167.06768798828125,170.95697021484375,187.16378784179688,5474474,5601918,6132983,191,199,207,84,80,108,172.0,177.0,191.0,78.47123525169073,0.9772499290381391,200
1.0,Cockroach,test,2,1ng_Cockroach_test_img02.png,resized/1ng_Cockroach_test_img02.png,2,188.80398559570312,194.9254150390625,205.006103515625,6186729,6387316,6717640,209,218,222,94,87,119,195.0,202.0,211.0,61.43119188119084,0.9685960375627329,218
1.0,Cockroach,test,3,1ng_Cockroach_test_img03.png,resized/1ng_Cockroach_test_img03.png,2,189.44351196289062,194.150634765625,202.91943359375,6207685,6361928,6649264,211,218,220,126,122,140,193.0,198.0,206.0,54.790968881031105,0.9757553005985686,217
10.0,DerF,ctrl,5,10ng_DerF_ctrl_img05.png,resized/10ng_DerF_ctrl_img05.png,7,165.1343994140625,165.99636840820312,185.90802001953125,5411124,5439369,6091834,204,208,217,93,86,120,173.0,175.0,192.0,110.72111189989872,0.9948072961040434,210
6.0,DerF,test,5,6ng_DerF_test_img05.png,resized/6ng_DerF_test_img05.png,5,163.39007568359375,164.61227416992188,181.75729370117188,5353966,5394015,5955823,201,206,212,63,59,86,172.0,174.0,191.0,114.2943540832257,0.9925752834345647,207
1.0,DerF,ctrl,4,1ng_DerF_ctrl_img04.png,resized/1ng_DerF_ctrl_img04.png,2,172.81390380859375,175.4815673828125,190.74746704101562,5662766,5750180,6250413,202,209,214,121,122,142,174.0,177.0,193.0,83.98386267214124,0.984798035492826,209
10.0,Cockroach,test,2,10ng_Cockroach_test_img02.png,resized/10ng_Cockroach_test_img02.png,7,181.2666015625,184.70376586914062,200.51473999023438,5939744,6052373,6570467,211,219,223,92,85,114,185.0,190.0,206.0,88.60629665638572,0.9813909301098565,219
0.0,DerP,ctrl,7,0ng_DerP_ctrl_img07.png,resized/0ng_DerP_ctrl_img07.png,0,159.63211059570312,159.0377197265625,184.87612915039062,5230825,5211348,6058021,206,211,221,72,66,104,164.0,163.0,190.0,124.59967293538405,1.0037374144097713,213
6.0,Cockroach,test,3,6ng_Cockroach_test_img03.png,resized/6ng_Cockroach_test_img03.png,5,167.3521728515625,169.71685791015625,189.48226928710938,5483796,5561282,6208955,204,206,215,97,96,120,171.0,174.0,192.0,81.46537389300553,0.9860668758909475,208
6.0,Cockroach,test,2,6ng_Cockroach_test_img02.png,resized/6ng_Cockroach_test_img02.png,5,173.72769165039062,175.98550415039062,194.81784057617188,5692709,5766693,6383791,207,215,219,81,75,112,179.0,183.0,201.0,101.1382150779236,0.9871704576006385,215
8.0,Cockroach,ctrl,1,8ng_Cockroach_ctrl_img01.png,resized/8ng_Cockroach_ctrl_img01.png,6,157.22381591796875,156.63714599609375,189.44125366210938,5151910,5132686,6207611,207,213,226,71,75,108,161.0,161.0,195.0,125.90114553705948,1.0037454009673046,216
0.0,DerP,ctrl,6,0ng_DerP_ctrl_img06.png,resized/0ng_DerP_ctrl_img06.png,0,153.44082641601562,151.12286376953125,180.00909423828125,5027949,4951994,5898538,208,208,216,75,70,95,157.0,154.0,184.0,108.52141680637942,1.0153382590385602,210
10.0,Cockroach,test,3,10ng_Cockroach_test_img03.png,resized/10ng_Cockroach_test_img03.png,7,167.4456787109375,168.05459594726562,190.41644287109375,5486860,5506813,6239566,197,202,214,100,95,131,170.0,170.0,193.0,108.71814487482567,0.9963766642068161,204
4.0,Cockroach,ctrl,1,4ng_Cockroach_ctrl_img01.png,resized/4ng_Cockroach_ctrl_img01.png,4,160.16482543945312,162.25,192.53506469726562,5248281,5316608,6308989,213,220,231,84,84,124,164.0,167.0,198.0,115.56676826192472,0.9871483787507226,222
1.0,DerF,ctrl,5,1ng_DerF_ctrl_img05.png,resized/1ng_DerF_ctrl_img05.png,2,148.24575805664062,146.56884765625,176.07998657226562,4857717,4802768,5769789,206,208,217,62,64,91,155.0,153.0,183.0,128.57314474073195,1.0114411037254138,210
4.0,Cockroach,ctrl,3,4ng_Cockroach_ctrl_img03.png,resized/4ng_Cockroach_ctrl_img03.png,4,151.55386352539062,154.58554077148438,182.19216918945312,4966117,5065459,5970073,188,192,205,86,86,119,156.0,160.0,187.0,90.65473378015741,0.9803883454341719,195
10.0,Cockroach,test,1,10ng_Cockroach_test_img01.png,resized/10ng_Cockroach_test_img01.png,7,180.69479370117188,183.511474609375,203.13790893554688,5921007,6013304,6656423,211,217,225,70,65,101,186.0,190.0,209.0,88.04770093560455,0.9846511947067619,218
8.0,Cockroach,ctrl,3,8ng_Cockroach_ctrl_img03.png,resized/8ng_Cockroach_ctrl_img03.png,6,165.42156982421875,166.63473510742188,189.76968383789062,5420534,5460287,6218373,198,200,212,84,80,121,168.0,169.0,192.0,102.05196282429976,0.9927196074987568,202
8.0,DerP,ctrl,7,8ng_DerP_ctrl_img07.png,resized/8ng_DerP_ctrl_img07.png,6,156.80078125,156.57855224609375,182.881103515625,5138048,5130766,5992648,199,203,216,69,63,107,164.0,165.0,189.0,118.41765683930885,1.0014192748578854,206
4.0,DerF,test,5,4ng_DerF_test_img05.png,resized/4ng_DerF_test_img05.png,4,163.96902465820312,165.29776000976562,184.61227416992188,5372937,5416477,6049375,198,205,212,70,67,100,172.0,173.0,192.0,112.84603280016822,0.9919615586838832,206
6.0,Cockroach,test,1,6ng_Cockroach_test_img01.png,resized/6ng_Cockroach_test_img01.png,5,175.35665893554688,177.31265258789062,199.988525390625,5746087,5810181,6553224,209,218,226,79,73,115,184.0,185.0,206.0,107.3227856481522,0.9889686685481012,219
0.1,DerF,test,4,0.1ng_DerF_test_img04.png,resized/0.1ng_DerF_test_img04.png,1,202.81536865234375,212.143798828125,212.843017578125,6645854,6951528,6974440,210,219,220,168,171,176,204.0,214.0,214.0,11.937822552723752,0.956027792547607,218
8.0,Cockroach,ctrl,2,8ng_Cockroach_ctrl_img02.png,resized/8ng_Cockroach_ctrl_img02.png,6,160.29898071289062,162.44650268554688,189.617919921875,5252677,5323047,6213400,204,210,221,92,90,118,164.0,167.0,195.0,99.79080101024174,0.9867801219236255,212
